dc,drift_value_kswin,host,id,parameter_id,station_id,topic,unix_timestamp,actual_timestamp
localhost,19.0,b104e5145a87,5641425596.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492259408.0,2017-04-15 12:30:08
localhost,19.0,b104e5145a87,5641443303.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492259789.0,2017-04-15 12:36:29
localhost,18.0,b104e5145a87,5641500489.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492261000.0,2017-04-15 12:56:40
localhost,20.0,b104e5145a87,5641501805.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492261021.0,2017-04-15 12:57:01
localhost,18.0,b104e5145a87,5641585486.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492262749.0,2017-04-15 13:25:49
localhost,21.0,b104e5145a87,5641638128.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492263840.0,2017-04-15 13:44:00
localhost,20.0,b104e5145a87,5641753324.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492266214.0,2017-04-15 14:23:34
localhost,19.0,b104e5145a87,5641753785.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492266227.0,2017-04-15 14:23:47
localhost,17.0,b104e5145a87,5641852664.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492268178.0,2017-04-15 14:56:18
localhost,18.0,b104e5145a87,5641853014.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492268187.0,2017-04-15 14:56:27
localhost,20.0,b104e5145a87,5642026683.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492271668.0,2017-04-15 15:54:28
localhost,19.0,b104e5145a87,5642049578.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492272144.0,2017-04-15 16:02:24
localhost,18.0,b104e5145a87,5642208687.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492275284.0,2017-04-15 16:54:44
localhost,22.0,b104e5145a87,5642231711.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492275715.0,2017-04-15 17:01:55
localhost,17.0,b104e5145a87,5642291769.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492276903.0,2017-04-15 17:21:43
localhost,20.0,b104e5145a87,5642331551.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492277648.0,2017-04-15 17:34:08
localhost,19.0,b104e5145a87,5642458382.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492280338.0,2017-04-15 18:18:58
localhost,20.0,b104e5145a87,5642680787.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492284888.0,2017-04-15 19:34:48
localhost,18.0,b104e5145a87,5642709795.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492285486.0,2017-04-15 19:44:46
localhost,20.0,b104e5145a87,5642788776.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492287236.0,2017-04-15 20:13:56
localhost,18.0,b104e5145a87,5642922451.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492290156.0,2017-04-15 21:02:36
localhost,18.0,b104e5145a87,5643113626.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492294516.0,2017-04-15 22:15:16
localhost,16.0,b104e5145a87,5643180362.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492295943.0,2017-04-15 22:39:03
localhost,22.0,b104e5145a87,5643449120.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492301754.0,2017-04-16 00:15:54
localhost,23.0,b104e5145a87,5643536765.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492303717.0,2017-04-16 00:48:37
localhost,21.0,b104e5145a87,5645342105.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492343544.0,2017-04-16 11:52:24
localhost,20.0,b104e5145a87,5645411892.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492345049.0,2017-04-16 12:17:29
localhost,18.0,b104e5145a87,5645429294.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492345435.0,2017-04-16 12:23:55
localhost,20.0,b104e5145a87,5645468108.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492346268.0,2017-04-16 12:37:48
localhost,20.0,b104e5145a87,5645635938.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492349910.0,2017-04-16 13:38:30
localhost,16.0,b104e5145a87,5645646250.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492350135.0,2017-04-16 13:42:15
localhost,17.0,b104e5145a87,5645667651.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492350597.0,2017-04-16 13:49:57
localhost,15.0,b104e5145a87,5645935306.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492356216.0,2017-04-16 15:23:36
localhost,18.0,b104e5145a87,5645984125.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492357245.0,2017-04-16 15:40:45
localhost,19.0,b104e5145a87,5646039944.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492358460.0,2017-04-16 16:01:00
localhost,16.0,b104e5145a87,5646197983.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492361794.0,2017-04-16 16:56:34
localhost,17.0,b104e5145a87,5646300377.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492363867.0,2017-04-16 17:31:07
localhost,16.0,b104e5145a87,5646397890.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492365865.0,2017-04-16 18:04:25
localhost,16.0,b104e5145a87,5646592995.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492369985.0,2017-04-16 19:13:05
